Date,Phone Touchpoints,Chat Touchpoints,Email Touchpoints,Total
2018-01,0.43,0.13,0.55,1.11
2018-02,0.35,0.11,0.38,0.84
2018-03,0.34,0.11,0.38,0.83
2018-04,0.24,0.18,0.30,0.72
2018-05,0.23,0.17,0.28,0.68
2018-06,0.29,0.17,0.29,0.75
2018-07,0.28,0.14,0.30,0.72
2018-08,0.30,0.14,0.35,0.79
2018-09,0.30,0.11,0.32,0.73
2018-10,0.29,0.12,0.31,0.72
2018-11,0.29,0.11,0.41,0.81
2018-12,0.38,0.15,0.54,1.07
2019-01,0.45,0.16,0.58,1.19
2019-02,0.32,0.13,0.38,0.83
2019-03,0.31,0.13,0.38,0.82
2019-04,0.25,0.15,0.34,0.74
2019-05,0.26,0.20,0.34,0.80
2019-06,0.26,0.20,0.34,0.80
2019-07,0.25,0.15,0.34,0.74
2018-08,0.28,0.16,0.33,0.77
2018-09,0.24,0.17,0.32,0.73
2018-10,0.24,0.17,0.34,0.75
2018-11,0.25,0.18,0.36,0.79
2018-12,0.33,0.18,0.53,1.04
2020-01,0.34,0.26,0.50,1.10
